epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.4,3.95548,4.43488,3.99458,0.00878,0.17949,0.01728,0.00519,3.78475,3.69921,3.57909,0.0700997,0.00332226,0.00332226
2,699.989,3.05221,3.24674,2.80332,0.24673,0.1415,0.10466,0.03634,2.7809,3.96068,2.49353,0.0400557,0.00661167,0.00661167
3,1047.84,2.58086,2.70979,2.23745,0.23057,0.2255,0.16852,0.06212,2.51653,2.9053,2.22295,0.00996781,0.00985707,0.00985707
4,1396.58,2.28825,2.41944,1.96622,0.31908,0.29247,0.25802,0.10558,2.23696,2.67564,1.9933,0.009802,0.009802,0.009802
5,1742.3,2.09721,2.18114,1.781,0.40525,0.32548,0.31601,0.14285,2.06669,2.55542,1.85006,0.009736,0.009736,0.009736
6,2088.34,1.99131,2.04526,1.69353,0.42872,0.35603,0.3441,0.15544,2.03694,2.15264,1.83348,0.00967,0.00967,0.00967
7,2428.17,1.90997,1.91449,1.62897,0.46723,0.43605,0.40636,0.1989,1.88204,1.94145,1.7227,0.009604,0.009604,0.009604
8,2775.73,1.85802,1.82339,1.57351,0.50883,0.43468,0.44106,0.21374,1.8418,2.03468,1.69365,0.009538,0.009538,0.009538
9,3115.92,1.80767,1.76651,1.54431,0.56515,0.43778,0.46987,0.2345,1.8142,1.89189,1.64405,0.009472,0.009472,0.009472
10,3463.43,1.79189,1.73889,1.53122,0.55633,0.47385,0.48855,0.24469,1.78197,1.76337,1.62968,0.009406,0.009406,0.009406
11,3824.94,1.75801,1.67317,1.4977,0.55752,0.4873,0.50336,0.25651,1.73578,1.83108,1.58621,0.00934,0.00934,0.00934
12,4178.2,1.73173,1.6485,1.48026,0.57125,0.46128,0.49786,0.26321,nan,nan,nan,0.009274,0.009274,0.009274
13,4540.96,1.71051,1.60658,1.46384,0.56815,0.50472,0.52694,0.28527,1.65648,1.61111,1.54333,0.009208,0.009208,0.009208
14,4921.29,1.69251,1.58657,1.44833,0.61782,0.51458,0.5523,0.29912,1.63801,1.57088,1.51843,0.009142,0.009142,0.009142
15,5282.78,1.66856,1.54161,1.42924,0.59436,0.52026,0.55362,0.30212,1.62381,1.55646,1.51927,0.009076,0.009076,0.009076
16,5638.69,1.64641,1.51807,1.41924,0.6104,0.53858,0.577,0.32256,1.58477,1.51593,1.48813,0.00901,0.00901,0.00901
17,5986.26,1.63162,1.49839,1.40833,0.65222,0.54367,0.59284,0.33652,1.57929,1.47803,1.46635,0.008944,0.008944,0.008944
18,6335.81,1.62491,1.47515,1.40323,0.64581,0.54103,0.59343,0.34223,1.54381,1.48193,1.44934,0.008878,0.008878,0.008878
19,6679.73,1.61471,1.46603,1.39616,0.64714,0.55057,0.60132,0.34512,1.56375,1.42658,1.45992,0.008812,0.008812,0.008812
20,7029.63,1.59525,1.44533,1.38662,0.66345,0.57284,0.62185,0.36044,1.52343,1.3976,1.42942,0.008746,0.008746,0.008746
21,7379.64,1.59334,1.43588,1.38471,0.66734,0.57545,0.62744,0.37104,1.49771,1.37406,1.41823,0.00868,0.00868,0.00868
22,7726.3,1.57814,1.39882,1.36729,0.6443,0.58438,0.6277,0.36538,1.49625,1.43125,1.41506,0.008614,0.008614,0.008614
23,8095.7,1.56599,1.37586,1.3553,0.63951,0.58803,0.61779,0.35955,1.49069,1.46002,1.40297,0.008548,0.008548,0.008548
24,8444.42,1.5577,1.38007,1.35997,0.69308,0.5734,0.64105,0.38534,1.46112,1.33426,1.38701,0.008482,0.008482,0.008482
25,8790.98,1.5341,1.35295,1.34444,0.67629,0.58784,0.63807,0.38394,1.44818,1.3225,1.37902,0.008416,0.008416,0.008416
26,9126.23,1.53033,1.35008,1.34183,0.71171,0.59868,0.66549,0.40674,1.43838,1.29096,1.36611,0.00835,0.00835,0.00835
27,9455.56,1.5227,1.32484,1.33209,0.69323,0.6038,0.66159,0.39888,1.43555,1.27532,1.36691,0.008284,0.008284,0.008284
28,9793.97,1.51421,1.31918,1.32973,0.72853,0.60108,0.67206,0.41096,1.42219,1.25252,1.35359,0.008218,0.008218,0.008218
29,10123,1.50607,1.30914,1.32772,0.7086,0.61231,0.67637,0.4141,1.41389,1.23289,1.3446,0.008152,0.008152,0.008152
30,10452.5,1.50226,1.29541,1.31609,0.69646,0.64093,0.68523,0.4168,nan,nan,nan,0.008086,0.008086,0.008086
31,10785.2,1.48431,1.28087,1.31617,0.72898,0.62209,0.69231,0.42399,1.4043,1.24553,1.33557,0.00802,0.00802,0.00802
32,11120.5,1.48416,1.27082,1.309,0.72926,0.62874,0.68948,0.42631,nan,nan,nan,0.007954,0.007954,0.007954
33,11454.1,1.48908,1.2772,1.31074,0.71619,0.62667,0.68781,0.42962,1.37958,1.19285,1.32163,0.007888,0.007888,0.007888
34,11788,1.46701,1.25261,1.30711,0.75166,0.63054,0.71066,0.44175,1.37896,1.16647,1.31778,0.007822,0.007822,0.007822
35,12124.4,1.46204,1.23902,1.29834,0.73908,0.64648,0.70645,0.44156,1.37811,1.20606,1.31658,0.007756,0.007756,0.007756
36,12461.1,1.46273,1.23948,1.29884,0.74152,0.63915,0.71016,0.44646,1.35944,1.1573,1.30971,0.00769,0.00769,0.00769
37,12796.7,1.4527,1.23145,1.29837,0.75204,0.63632,0.71322,0.45096,1.35304,1.1562,1.29917,0.007624,0.007624,0.007624
38,13132.4,1.44942,1.22178,1.28865,0.737,0.64593,0.7102,0.4435,1.37154,1.18088,1.30865,0.007558,0.007558,0.007558
39,13467.9,1.44254,1.20974,1.28543,0.74157,0.64678,0.72009,0.45607,1.34193,1.12384,1.29446,0.007492,0.007492,0.007492
40,13804.2,1.42898,1.1935,1.2806,0.73099,0.64428,0.70792,0.44643,1.35184,1.13459,1.30161,0.007426,0.007426,0.007426
41,14137.7,1.43242,1.1905,1.28002,0.75975,0.64752,0.72351,0.46202,1.3286,1.12023,1.28406,0.00736,0.00736,0.00736
42,14472.4,1.42934,1.18795,1.27288,0.75159,0.6595,0.73321,0.4658,1.32351,1.10606,1.28512,0.007294,0.007294,0.007294
43,14802.1,1.41738,1.17599,1.27135,0.73949,0.67065,0.73099,0.46775,1.32275,1.12613,1.27707,0.007228,0.007228,0.007228
44,15136.3,1.41419,1.16008,1.26037,0.7415,0.67147,0.73391,0.47184,nan,nan,nan,0.007162,0.007162,0.007162
45,15471.9,1.41527,1.16332,1.2677,0.76483,0.66266,0.73856,0.47695,1.30086,1.09051,1.26246,0.007096,0.007096,0.007096
46,15805.9,1.40372,1.14884,1.25871,0.75543,0.63281,0.698,0.44592,nan,nan,nan,0.00703,0.00703,0.00703
47,16139.2,1.40856,1.1594,1.26268,0.76467,0.67998,0.74753,0.48309,1.29276,1.05557,1.25911,0.006964,0.006964,0.006964
48,16472.2,1.39238,1.14308,1.2552,0.77669,0.67659,0.74961,0.4879,1.28847,1.04129,1.26213,0.006898,0.006898,0.006898
49,16801,1.38547,1.13402,1.24917,0.78082,0.67528,0.75058,0.48835,nan,nan,nan,0.006832,0.006832,0.006832
50,17130.5,1.39071,1.12605,1.24749,0.78082,0.67704,0.75004,0.48844,nan,nan,nan,0.006766,0.006766,0.006766
