epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.099,3.92086,4.46765,3.96776,0.34541,0.04484,0.02624,0.0067,3.59671,4.24217,3.40088,0.0700997,0.00332226,0.00332226
2,602.998,3.02145,3.22117,2.77032,0.1278,0.19328,0.10613,0.03891,2.729,4.60778,2.49654,0.0400338,0.0065897,0.0065897
3,904.335,2.55662,2.681,2.22873,0.26558,0.22948,0.17924,0.06929,2.47626,3.21828,2.2191,0.00990189,0.00979115,0.00979115
4,1200.99,2.29355,2.42297,1.97744,0.34221,0.29104,0.25925,0.10309,2.25182,3.02748,2.01753,0.009703,0.009703,0.009703
5,1497.24,2.11307,2.18622,1.79819,0.41458,0.34678,0.33227,0.14429,2.06423,2.41845,1.87895,0.009604,0.009604,0.009604
6,1798.02,1.99811,2.05782,1.71251,0.45047,0.36173,0.36252,0.16746,1.97504,2.34522,1.78934,0.009505,0.009505,0.009505
7,2100.72,1.92476,1.92769,1.6524,0.48581,0.39925,0.40458,0.19616,1.90925,2.11641,1.73256,0.009406,0.009406,0.009406
8,2403.94,1.86905,1.84277,1.59181,0.4979,0.43349,0.43778,0.21143,1.85573,1.99763,1.68034,0.009307,0.009307,0.009307
9,2707.2,1.81716,1.77558,1.55977,0.53154,0.45068,0.4626,0.23148,1.8122,1.99595,1.64595,0.009208,0.009208,0.009208
10,3005.37,1.80088,1.74064,1.54141,0.56196,0.44509,0.47415,0.23707,1.80797,1.89714,1.64217,0.009109,0.009109,0.009109
11,3301.67,1.75858,1.67937,1.50859,0.56091,0.4683,0.49607,0.25407,1.76238,1.8743,1.61181,0.00901,0.00901,0.00901
12,3600.36,1.73643,1.65629,1.4923,0.56465,0.46147,0.49142,0.25551,1.72744,1.9531,1.57992,0.008911,0.008911,0.008911
